Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GET Home,50,9484,2970,18448,4122.12,0.000%,1.14548,218.99,0.22,195768.1
GET Subpage,50,36485,18049,76994,13178.40,0.000%,.59982,859.56,0.24,1467419.7
TOTAL,100,22984,2970,76994,16661.06,0.000%,1.11419,904.84,0.33,831593.9
